"id","province","city","type","carrier","product","directive","upward","downward","receiveMsg","reportAt","checked","remark","version","result","return_code"
"24617290","27","715","1","CMCC","0","CXLL","10086","10086","[""尊敬的13536288906客户，您上月结转至本月国内通用流量100.00M。截至29日13时26分，您当月常用流量已用32.63M，可用167.37M，其中国内通用流量可用167.36M（含上月结余67.36M）；共享流量已用0.00M；已使用主号流量0.00M；以上信息可能存在延时，具体以详单为准。如需查看更多详情您可登录 http:\/\/dx.10086.cn\/qEeHBA ，方便更快捷。【中国移动】""]","2021-03-30 12:24:29","0","NULL","1.1","mReturnCode:4;mUsedTrafficB:0;mLeftTrafficB:0","4"
"24617263","28","826","1","CMCC","0","CXLL","10086","10086","[""尊敬的客户您好:截至03月30日09点49分，您本月已使用国内数据流量2GB758.94MB,更多流量使用情况请点击 http:\/\/dx.10086.cn\/D\/CY92m ，随时掌握每日流量使用进度。【中国移动】""]","2021-03-30 12:13:53","0","NULL","1.1","mReturnCode:4;mUsedTrafficB:0;mLeftTrafficB:0","4"
"24617114","371","395","1","CMCC","0","CXLL","10086","10086","[""【余额提醒】尊敬的客户，截至03月26日14时，您的话费余额为0.65元。您是3星客户，话费用完后还可享受10.00元话费透支特权。欠费停机将影响您的使用，请及时交费。便捷交费请点击 https:\/\/dx.10086.cn\/05YZJN7z 回复“66”即回馈1G省内流量并获得今后接收各类优惠提醒服务，每人限享一次。中国移动""]","2021-03-30 11:28:11","0","NULL","1.1","mReturnCode:4;mUsedTrafficB:0;mLeftTrafficB:0","4"
"24617096","531","537","1","CMCC","0","3","10086","10086","[""【包月量查询】尊敬的客户，您好!截至当前，您账户内套餐剩余情况如下:\n语音：通话分钟数剩余1189分钟。\n回复8813订购30元30G国内流量包（含权益尊享会员+和彩云网盘体验各1个月），20*24小时之内有效。【点击查询详情】 https:\/\/m.sd.10086.cn\/sdSLServer\/F2nCRi2\n以上信息仅供参考。\n★解忧提示★\n请回复字母（如A）同意专属客服回访为您量身提供优惠，并可获得500MB流量券~\n【A】足不出户改为优惠套餐\n【B】我想要更多的流量\n【C】我想要便宜的通用流量\n【中国移动】""]","2021-03-30 11:18:40","0","NULL","1.1","mReturnCode:4;mUsedTrafficB:0;mLeftTrafficB:0","4"
"24617092","591","598","1","CMCC","0","11","10086","10086","[""【话费查询】尊敬的客户，您好！您当前账户总余额为116.00元，其中通用余额为116.00元。【温馨提醒：每月1日扣除套餐及固定费。】回复相应序号查更多信息： 111、余额项目说明 10、缴费历史查询 141、套餐资费查询 0000、增值业务查退、121了解话费账单项目说明。【中国移动】""]","2021-03-30 11:17:36","0","NULL","1.1","mReturnCode:4;mUsedTrafficB:0;mLeftTrafficB:0","4"
"24617091","591","598","1","CMCC","0","11","10086","10086","[""【话费查询】尊敬的客户，您好！您当前账户总余额为116.00元，其中通用余额为116.00元。【温馨提醒：每月1日扣除套餐及固定费。】回复相应序号查更多信息： 111、余额项目说明 10、缴费历史查询 141、套餐资费查询 0000、增值业务查退、121了解话费账单项目说明。【中国移动】""]","2021-03-30 11:17:36","0","NULL","1.1","mReturnCode:4;mUsedTrafficB:0;mLeftTrafficB:0","4"
"24617062","28","838","1","CMCC","0","CXLL","10086","10086","[""【流量查询】尊敬的客户，您好！截止今日10时57分23秒，您本月国内通用流量共40.00MB，当前可使用0.00MB；套外流量已经使用18.97MB。【为您推荐】尊敬的客户，您好！为了更好的为您提供移动服务，确保您能及时收到四川移动服务信息、调研回访以及业务推广等信息，特推荐您开通服务管家，此业务不收任何费用且长期有效，成功订购后，四川移动将以电话（10086、10085、10088）、短信、即时通信工具、电子邮件等方式进行告知。点击链接可办理：https:\/\/dx.10086.cn\/1132dp 。百分努力，只为您10分满意！ \r\n如需查询流量使用进度，请点击 ：http:\/\/dx.10086.cn\/sccxll【中国移动】""]","2021-03-30 11:07:24","0","NULL","1.1","mReturnCode:4;mUsedTrafficB:0;mLeftTrafficB:0","4"
"24617055","771","771","1","CMCC","0","103","10086","10086","[""-----★★解忧提示★★-----\n回复以下字母（如M）同意回访，由专属客服为您量身提供优惠，并可获得500MB流量券。\n【M】我的套餐不合适\n【N】我想改个更划算的套餐\n【P】我的流量经常不够用\n【L】我想节省话费""]","2021-03-30 11:05:59","0","NULL","1.1","mReturnCode:4;mUsedTrafficB:0;mLeftTrafficB:0","4"
"24617017","731","734","1","CMCC","0","CXTCLL","10086","10086","[""尊敬的移动用户，您通过中移互联网渠道成功订购1G流量日包套餐，内容：订购立即生效,办理当日费用一次性全额收取、流量全额提供，订购时间2021-03-30 10:45:36.0，中国移动！""]","2021-03-30 10:54:47","0","NULL","1.1","mReturnCode:4;mUsedTrafficB:0;mLeftTrafficB:0","4"
"24616995","25","511","1","CMCC","0","113","10086","10086","[""尊敬的客户，您已成功办理流量快餐包1GB（24小时）和力云版，限2021-03-30 07:14:22至2021-03-31 07:14:22使用，流量未使用完过期将自动失效。中国移动""]","2021-03-30 10:47:04","0","NULL","1.1","mReturnCode:4;mUsedTrafficB:0;mLeftTrafficB:0","4"
"24616954","371","396","1","CMCC","0","CXLL","10086","10086232","[""【流量提醒】尊敬的副卡客户，您查询的数据包含主卡可共享流量。截至03月28日18时24分，您03月：\n剩余总流量0.00MB。\n您已限速，目前正在使用低速流量，次月网速自动恢复。\n查询每天流量使用情况和APP使用排行，请点击： https:\/\/f.10086.cn\/s\/#NCC23 \n【推荐您使用河南移动智慧生活APP，24小时不打烊！剩余流量随时查，每日、每月各大APP流量使用排行情况一手掌握，让您安心上网。点击 http:\/\/dx.10086.cn\/K0f3 下载】【中国移动】""]","2021-03-30 10:28:42","0","NULL","1.1","mReturnCode:4;mUsedTrafficB:0;mLeftTrafficB:0","4"
"24616907","591","598","1","CMCC","0","28","10086","10086","[""【流量查询】尊敬的客户，您好！截至03月30日09时51分，您（159****4667）当前流量使用情况如下：\n1.标准资费流量：流量已使用0GB；（标准资费0.29元\/MB）\n回复“GXLL”查询共享流量详情。【中国移动】""]","2021-03-30 10:13:43","0","NULL","1.1","mReturnCode:4;mUsedTrafficB:0;mLeftTrafficB:0","4"
"24616832","551","550","1","CMCC","20000","66","10086","10086","[""您好！截至03月29日13时14分，您当日日租流量已用0.00MB；当月定向流量已用0.00MB（剩余20GB0.00MB)。点 ah.10086.cn\/dt\/khd 至移动惠生活APP查询更多内容。\r\n回复序号办理:\r\n6681.头条抖音包\r\n6688.视频会员随心包（首月1元）\r\n6680.1元享300分钟通话\r\n【中国移动】""]","2021-03-30 09:46:05","0","NULL","1.1","mReturnCode:4;mUsedTrafficB:0;mLeftTrafficB:0","4"
"24616830","10","10","1","CMCC","0","5011","10086","10086","[""【流量查询】尊敬的客户，您好！点击 http:\/\/dx.10086.cn\/HfmB （点击链接正常消耗流量）图形化展示您的各类套餐使用情况，更清晰直观。截至02月11日17时15分，您办理的套餐中共包含6.00GB流量，其中国内通用流量共有6.00GB，已使用2.11GB，剩余3.89GB，具体流量使用情况如下：\n1.飞享套餐_0.9G国内通用流量：流量已使用0.90GB，剩余0.00GB;\n2.飞享套餐10元_100M国内通用流量：流量已使用0.10GB，剩余0.00GB;\n3.5元5G国内通用流量：流量已使用1.11GB，剩余3.89GB;\n【中国移动】""]","2021-03-30 09:45:21","0","NULL","1.1","mReturnCode:4;mUsedTrafficB:0;mLeftTrafficB:0","4"
"24616779","431","434","1","CMCC","0","1173","10086","10086","[""尊敬的客户，您本月手机上网优惠使用情况:日租卡套餐优惠可享受800.00MB，现剩余800.00MB国内(不含港澳台)手机上网流量优惠可享受2GB，现剩余2GB任我看套卡国内定向流量优惠可享受10GB0.02MB，现剩余9GB821.9MB。本卡各项套餐使用及剩余情况详细查询请点击http:\/\/dx.10086.cn\/tcyl86【中国移动】""]","2021-03-30 09:26:32","0","NULL","1.1","mReturnCode:4;mUsedTrafficB:0;mLeftTrafficB:0","4"
